hs,bm,bk,ppn,ppnbm
01.01,,,,
0101.21.00,0,0,0,0
0101.29.00,5,0,11,0
0101.30,,,,
0101.30.10,0,0,0,0
0101.30.90,5,0,11,0
0101.90.00,5,0,11 ,0
01.02,,,,
0102.21.00,0,0,0,0
0102.29,,,,
0102.29.11,0,0,0,0
0102.29.19,5,0,0,0
0102.29.90,5,0,0,0
0102.31.00,0,0,0,0
0102.39.00,5,0,0,0
0102.90,,,,
0102.90.10,0,0,0,0
0102.90.90,5,0,0,0
01.03,,,,
0103.10.00,0,0,0,0
0103.91.00,5,0,0,0
0103.92.00,5,0,0,0
01.04,,,,
0104.10,,,,
0104.10.10,0,0,0,0
0104.10.90,5,0,0,0
0104.20,,,,
0104.20.10,0,0,0,0
0104.20.90,5,0,0,0
01.05,,,,
0105.11,,,,
0105.11.10,0,0,0,0
0105.11.90,5,0,0,0
0105.12,,,,
0105.12.10,0,0,0,0
0105.12.90,5,0,0,0
0105.13,,,,
0105.13.10,0,0,0,0
0105.13.90,5,0,0,0
0105.14,,,,
0105.14.10,0,0,0,0
0105.14.90,5,0,0,0
0105.15,,,,
0105.15.10,5,0,0,0
0105.15.90,5,0,0,0
0105.94,,,,
0105.94.10,0,0,0,0
0105.94.41,5,0,0,0
0105.94.49,5,0,0,0
0105.94.91,5,0,0,0
0105.94.99,5,0,0,0
0105.99,,,,
0105.99.10,0,0,0,0
0105.99.20,5,0,0,0
0105.99.30,0,0,0,0
0105.99.40,5,0,0,0
01.06,,,,
0106.11.00,5,0,11,0
0106.12,,,,
0106.12.10,5,0,11,0
0106.12.20,5,0,11,0
0106.13.00,5,0,11,0
0106.14.00,5,0,0,0
0106.19.00,5,0,11,0
0106.20.00,5,0,11,0
0106.31.00,5,0,11,0
0106.32.00,5,0,11,0
0106.33.00,5,0,11,0
0106.39.00,5,0,11,0
0106.41.00,5,0,11,0
0106.49.00,5,0,11,0
0106.90.00,5,0,11,0
02.01,,,,
0201.10.00,5,0,0,0
0201.20.00,5,0,0,0
0201.30.00,5,0,0,0
02.02,,,,
0202.10.00,5,0,0,0
0202.20.00,5,0,0,0
0202.30.00,5,0,0,0
02.03,,,,
0203.11.00,5,0,0,0
0203.12.00,5,0,0,0
0203.19.00,5,0,0,0
0203.21.00,5,0,0,0
0203.22.00,5,0,0,0
0203.29.00,5,0,0,0
02.04,,,,
0204.10.00,5,0,0,0
0204.21.00,5,0,0,0
0204.22.00,5,0,0,0
0204.23.00,5,0,0,0
0204.30.00,5,0,0,0
0204.41.00,5,0,0,0
0204.42.00,5,0,0,0
0204.43.00,5,0,0,0
0204.50.00,5,0,0,0
0205.00.00,5,0,11,0
02.06,,,,
0206.10.00,5,0,0,0
0206.21.00,5,0,0,0
0206.22.00,5,0,0,0
0206.29.00,5,0,0,0
0206.30.00,5,0,0,0
0206.41.00,5,0,0,0
0206.49.00,5,0,0,0
0206.80.00,5,0,11 ,0
0206.90.00,5,0,11 ,0
02.07,,,,
0207.11.00,5,0,0,0
0207.12.00,5,0,0,0
0207.13.00,5,0,0,0
0207.14,,,,
0207.14.10,5,0,0,0
0207.14.20,20,0,0,0
0207.14.30,5,0,0,0
0207.14.91,5,0,0,0
0207.14.99,5,0,0,0
0207.24.00,5,0,0,0
0207.25.00,5,0,0,0
0207.26.00,5,0,0,0
0207.27,,,,
0207.27.10,5,0,0,0
0207.27.91,5,0,0,0
0207.27.99,5,0,0,0
0207.41.00,5,0,0,0
0207.42.00,5,0,0,0
0207.43.00,5,0,0,0
0207.44.00,5,0,0,0
0207.45,,,,
0207.45.10,5,0,0,0
0207.45.90,5,0,0,0
0207.51.00,5,0,0,0
0207.52.00,5,0,0,0
0207.53.00,5,0,0,0
0207.54.00,5,0,0,0
0207.55,,,,
0207.55.10,5,0,0,0
0207.55.90,5,0,0,0
0207.60,,,,
0207.60.10,5,0,0,0
0207.60.20,5,0,0,0
0207.60.30,5,0,0,0
0207.60.40,5,0,0,0
02.08,,,,
0208.10.00,5,0,0,0
0208.30.00,5,0,11,0
0208.40,,,,
0208.40.10,5,0,11,0
0208.40.90,5,0,11,0
0208.50.00,5,0,11,0
0208.60.00,5,0,11,0
0208.90,,,,
0208.90.10,5,0,11,0
0208.90.90,5,0,11,0
02.09,,,,
0209.10.00,5,0,11,0
0209.90.00,5,0,11,0
02.10,,,,
0210.11.00,5,0,0,0
0210.12.00,5,0,0,0
0210.19,,,,
0210.19.30,5,0,0,0
0210.19.90,5,0,0,0
0210.20.00,5,0,0,0
0210.91.00,5,0,11,0
0210.92,,,,
0210.92.10,5,0,11,0
0210.92.90,5,0,11,0
0210.93.00,5,0,11,0
0210.99,,,,
0210.99.10,5,0,0,0
0210.99.20,5,0,11,0
0210.99.90,5,0,11 ,0
03.01,,,,
0301.11,,,,
0301.11.10,0,0,0,0
0301.11.91,5,0,0,0
0301.11.92,5,0,0,0
0301.11.93,5,0,0,0
0301.11.95,5,0,0,0
0301.11.99,5,0,0,0
0301.19,,,,
0301.19.10,0,0,0,0
0301.19.90,5,0,0,0
0301.91.00,5,0,0,0
0301.92.00,5,0,0,0
0301.93,,,,
0301.93.21,0,0,0,0
0301.93.22,5,0,0,0
0301.93.29,5,0,0,0
0301.93.31,0,0,0,0
0301.93.32,5,0,0,0
0301.93.39,5,0,0,0
0301.94.00,5,0,0,0
0301.95.00,5,0,0,0
0301.99,,,,
0301.99.11,0,0,0,0
0301.99.19,0,0,0,0
0301.99.22,0,0,0,0
0301.99.23,5,0,0,0
0301.99.24,0,0,0,0
0301.99.29,5,0,0,0
0301.99.31,5,0,0,0
0301.99.32,5,0,0,0
0301.99.33,10,0,0,0
0301.99.34,10,0,0,0
0301.99.35,10,0,0,0
0301.99.36,10,0,0,0
0301.99.41,10,0,0,0
0301.99.42,5,0,0,0
0301.99.49,5,0,0,0
0301.99.50,5,0,0,0
0301.99.90,5,0,0,0
03.02,,,,
0302.11.00,5,0,0,0
0302.13.00,5,0,0,0
0302.14.00,5,0,0,0
0302.19.00,5,0,0,0
0302.21.00,5,0,0,0
0302.22.00,5,0,0,0
0302.23.00,5,0,0,0
0302.24.00,5,0,0,0
0302.29.00,5,0,0,0
0302.31.00,5,0,0,0
0302.32.00,5,0,0,0
0302.33.00,5,0,0,0
0302.34.00,5,0,0,0
0302.35.00,5,0,0,0
0302.36.00,5,0,0,0
0302.39.00,5,0,0,0
0302.41.00,5,0,0,0
0302.42.00,5,0,0,0
0302.43.00,5,0,0,0
0302.44.00,5,0,0,0
0302.45.00,5,0,0,0
0302.46.00,5,0,0,0
0302.47.00,5,0,0,0
0302.49.00,5,0,0,0
0302.51.00,5,0,0,0
0302.52.00,5,0,0,0
0302.53.00,5,0,0,0
0302.54.00,5,0,0,0
0302.55.00,5,0,0,0
0302.56.00,5,0,0,0
0302.59.00,5,0,0,0
0302.71.00,10,0,0,0
0302.72,,,,
0302.72.10,5,0,0,0
0302.72.90,5,0,0,0
0302.73.00,5,0,0,0
0302.74.00,5,0,0,0
0302.79.00,5,0,0,0
0302.81.00,5,0,0,0
0302.82.00,5,0,0,0
0302.83.00,5,0,0,0
0302.84.00,5,0,0,0
0302.85.00,5,0,0,0
0302.89,,,,
0302.89.11,10,0,0,0
0302.89.12,5,0,0,0
0302.89.13,5,0,0,0
0302.89.14,5,0,0,0
0302.89.15,5,0,0,0
0302.89.16,5,0,0,0
0302.89.17,5,0,0,0
0302.89.18,5,0,0,0
0302.89.19,5,0,0,0
0302.89.22,5,0,0,0
0302.89.23,5,0,0,0
0302.89.27,5,0,0,0
0302.89.28,5,0,0,0
0302.89.29,5,0,0,0
0302.91.00,5,0,11 ,0
0302.92.00,5,0,0,0
0302.99.00,10,0,11 ,0
03.03,,,,
0303.11.00,5,0,0,0
0303.12.00,5,0,0,0
0303.13.00,5,0,0,0
0303.14.00,5,0,0,0
0303.19.00,5,0,0,0
0303.23.00,10,0,0,0
0303.24.00,5,0,0,0
0303.25.00,5,0,0,0
0303.26.00,5,0,0,0
0303.29.00,5,0,0,0
0303.31.00,5,0,0,0
0303.32.00,5,0,0,0
0303.33.00,5,0,0,0
0303.34.00,5,0,0,0
0303.39.00,5,0,0,0
0303.41.00,5,0,0,0
0303.42.00,5,0,0,0
0303.43.00,5,0,0,0
0303.44.00,5,0,0,0
0303.45,,,,
0303.45.10,5,0,0,0
0303.45.90,5,0,0,0
0303.46.00,5,0,0,0
0303.49,,,,
0303.49.10,5,0,0,0
0303.49.90,5,0,0,0
0303.51.00,5,0,0,0
0303.53.00,5,0,0,0
0303.54,,,,
0303.54.10,5,0,0,0
0303.54.20,5,0,0,0
0303.55.00,5,0,0,0
0303.56.00,5,0,0,0
0303.57.00,5,0,0,0
0303.59,,,,
0303.59.10,5,0,0,0
0303.59.20,5,0,0,0
0303.59.90,5,0,0,0
0303.63.00,5,0,0,0
0303.64.00,5,0,0,0
0303.65.00,5,0,0,0
0303.66.00,5,0,0,0
0303.67.00,5,0,0,0
0303.68.00,5,0,0,0
0303.69.00,5,0,0,0
0303.81.00,5,0,0,0
0303.82.00,5,0,0,0
0303.83.00,5,0,0,0
0303.84.00,5,0,0,0
0303.89,,,,
0303.89.11,10,0,0,0
0303.89.13,5,0,0,0
0303.89.14,5,0,0,0
0303.89.15,5,0,0,0
0303.89.16,5,0,0,0
0303.89.17,5,0,0,0
0303.89.18,5,0,0,0
0303.89.19,5,0,0,0
0303.89.22,5,0,0,0
0303.89.23,5,0,0,0
0303.89.24,5,0,0,0
0303.89.27,5,0,0,0
0303.89.28,5,0,0,0
0303.89.29,5,0,0,0
0303.91.00,5,0,11 ,0
0303.92.00,5,0,0,0
0303.99.00,10,0,11 ,0
03.04,,,,
0304.31.00,10,0,0,0
0304.32.00,10,0,0,0
0304.33.00,10,0,0,0
0304.39.00,10,0,0,0
0304.41.00,10,0,0,0
0304.42.00,10,0,0,0
0304.43.00,10,0,0,0
0304.44.00,10,0,0,0
0304.45.00,10,0,0,0
0304.46.00,10,0,0,0
0304.47.00,10,0,0,0
0304.48.00,10,0,0,0
0304.49.00,10,0,0,0
0304.51.00,10,0,0,0
0304.52.00,10,0,0,0
0304.53.00,10,0,0,0
0304.54.00,10,0,0,0
0304.55.00,10,0,0,0
0304.56.00,10,0,0,0
0304.57.00,10,0,0,0
0304.59.00,10,0,0,0
0304.61.00,10,0,0,0
0304.62.00,10,0,0,0
0304.63.00,10,0,0,0
0304.69.00,10,0,0,0
0304.71.00,10,0,0,0
0304.72.00,10,0,0,0
0304.73.00,10,0,0,0
0304.74.00,10,0,0,0
0304.75.00,10,0,0,0
0304.79.00,10,0,0,0
0304.81.00,10,0,0,0
0304.82.00,10,0,0,0
0304.83.00,10,0,0,0
0304.84.00,10,0,0,0
0304.85.00,10,0,0,0
0304.86.00,10,0,0,0
0304.87.00,10,0,0,0
0304.88.00,10,0,0,0
0304.89,,,,
0304.89.10,10,0,0,0
0304.89.90,10,0,0,0
0304.91.00,10,0,0,0
0304.92.00,10,0,0,0
0304.93.00,10,0,0,0
0304.94.00,10,0,0,0
0304.95.00,10,0,0,0
0304.96.00,10,0,0,0
0304.97.00,10,0,0,0
0304.99,,,,
0304.99.10,10,0,0,0
0304.99.90,10,0,0,0
03.05,,,,
0305.20,,,,
0305.20.10,5,0,11 ,0
0305.20.90,5,0,11,0
0305.31.00,5,0,11,0
0305.32.00,5,0,11,0
0305.39,,,,
0305.39.10,5,0,11,0
0305.39.20,5,0,11,0
0305.39.91,5,0,11,0
0305.39.92,5,0,11,0
0305.39.99,5,0,11,0
0305.41.00,5,0,11,0
0305.42.00,5,0,11,0
0305.43.00,5,0,11,0
0305.44.00,5,0,11,0
0305.49,,,,
0305.49.10,5,0,11,0
0305.49.90,5,0,11,0
0305.51.00,5,0,11 ,0
0305.52.00,5,0,11 ,0
0305.53.00,5,0,11 ,0
0305.54.00,5,0,11 ,0
0305.59,,,,
0305.59.21,5,0,11 ,0
0305.59.29,5,0,11 ,0
0305.59.90,5,0,11 ,0
0305.61.00,5,0,11,0
0305.62.00,5,0,11,0
0305.63.00,5,0,11,0
0305.64.00,5,0,11,0
0305.69,,,,
0305.69.10,5,0,11,0
0305.69.90,5,0,11,0
0305.71,,,,
0305.71.10,5,0,11 ,0
0305.71.90,5,0,11,0
0305.72,,,,
0305.72.11,5,0,11 ,0
0305.72.19,5,0,11 ,0
0305.72.91,5,0,11 ,0
0305.72.99,5,0,11 ,0
0305.79,,,,
0305.79.10,5,0,11 ,0
0305.79.90,5,0,11 ,0
03.06,,,,
0306.11,,,,
0306.11.10,5,0,11,0
0306.11.90,5,0,11 ,0
0306.12,,,,
0306.12.10,5,0,11,0
0306.12.90,5,0,11 ,0
0306.14,,,,
0306.14.11,5,0,11,0
0306.14.19,5,0,11,0
0306.14.91,5,0,11 ,0
0306.14.92,5,0,11 ,0
0306.14.93,5,0,11 ,0
0306.14.99,5,0,11 ,0
0306.15.00,5,0,11 ,0
0306.16.00,5,0,11 ,0
0306.17,,,,
0306.17.11,5,0,11 ,0
0306.17.19,5,0,11 ,0
0306.17.21,5,0,11 ,0
0306.17.22,5,0,11 ,0
0306.17.29,5,0,11 ,0
0306.17.30,5,0,11 ,0
0306.17.90,5,0,11 ,0
0306.19.00,5,0,11 ,0
0306.31,,,,
0306.31.10,0,0,0,0
0306.31.20,5,0,0,0
0306.31.30,5,0,0,0
0306.32,,,,
0306.32.10,0,0,0,0
0306.32.20,5,0,0,0
0306.32.30,5,0,0,0
0306.33,,,,
0306.33.11,5,0,0,0
0306.33.12,5,0,0,0
0306.33.91,5,0,0,0
0306.33.92,5,0,0,0
0306.34.00,5,0,0,0
0306.35,,,,
0306.35.10,0,0,0,0
0306.35.20,5,0,0,0
0306.35.30,5,0,0,0
0306.36,,,,
0306.36.11,0,0,0,0
0306.36.12,0,0,0,0
0306.36.13,0,0,0,0
0306.36.19,0,0,0,0
0306.36.21,5,0,0,0
0306.36.22,5,0,0,0
0306.36.23,5,0,0,0
0306.36.29,5,0,0,0
0306.36.31,5,0,0,0
0306.36.32,5,0,0,0
0306.36.33,5,0,0,0
0306.36.39,5,0,0,0
0306.39,,,,
0306.39.10,5,0,11,0
0306.39.20,5,0,11 ,0
0306.91,,,,
0306.91.21,5,0,11,0
0306.91.29,5,0,11,0
0306.91.31,5,0,11,0
0306.91.39,5,0,11,0
0306.92,,,,
0306.92.21,5,0,11,0
0306.92.29,5,0,11,0
0306.92.31,5,0,11,0
0306.92.39,5,0,11,0
0306.93,,,,
0306.93.21,5,0,11,0
0306.93.29,5,0,11,0
0306.93.31,5,0,11,0
0306.93.39,5,0,11,0
0306.94,,,,
0306.94.21,5,0,11,0
0306.94.29,5,0,11,0
0306.94.31,5,0,11,0
0306.94.39,5,0,11,0
0306.95,,,,
0306.95.21,5,0,11,0
0306.95.29,5,0,11,0
0306.95.30,5,0,11,0
0306.99,,,,
0306.99.21,5,0,11,0
0306.99.29,5,0,11,0
0306.99.31,5,0,11,0
0306.99.39,5,0,11,0
03.07,,,,
0307.11,,,,
0307.11.10,5,0,0,0
0307.11.20,5,0,0,0
0307.12.00,5,0,0,0
0307.19,,,,
0307.19.20,5,0,11,0
0307.19.30,5,0,11,0
0307.21,,,,
0307.21.10,5,0,0,0
0307.21.20,5,0,0,0
0307.22.00,5,0,0,0
0307.29,,,,
0307.29.30,5,0,11,0
0307.29.40,5,0,11,0
0307.31,,,,
0307.31.10,5,0,0,0
0307.31.20,5,0,0,0
0307.32.00,5,0,0,0
0307.39,,,,
0307.39.30,5,0,11,0
0307.39.40,5,0,11,0
0307.42,,,,
0307.42.11,5,0,11,0
0307.42.19,5,0,11,0
0307.42.21,5,0,0,0
0307.42.29,5,0,0,0
0307.43,,,,
0307.43.10,5,0,0,0
0307.43.90,5,0,0,0
0307.49,,,,
0307.49.21,5,0,11,0
0307.49.29,5,0,11,0
0307.49.31,5,0,11,0
0307.49.39,5,0,11,0
0307.51,,,,
0307.51.10,5,0,11,0
0307.51.20,5,0,0,0
0307.52.00,5,0,0,0
0307.59,,,,
0307.59.20,5,0,11,0
0307.59.30,5,0,11,0
0307.60,,,,
0307.60.10,5,0,11,0
0307.60.20,5,0,0,0
0307.60.40,5,0,11,0
0307.60.50,5,0,11,0
0307.71,,,,
0307.71.10,5,0,0,0
0307.71.20,5,0,0,0
0307.72.00,5,0,0,0
0307.79,,,,
0307.79.30,5,0,11,0
0307.79.40,5,0,11,0
0307.81,,,,
0307.81.10,5,0,0,0
0307.81.20,5,0,0,0
0307.82,,,,
0307.82.10,5,0,11 ,0
0307.82.20,5,0,11 ,0
