POS,DESCRIPTION
010121," Kuda, keledai, bagal dan hinnie, hidup. - Kuda : - - Bibit"
010129," Kuda, keledai, bagal dan hinnie, hidup. - Kuda : - - Lain-lain"
010130," Kuda, keledai, bagal dan hinnie, hidup. - Keledai :"
010190," Kuda, keledai, bagal dan hinnie, hidup. - Lain-lain"
010221, Binatang hidup jenis lembu. - Sapi : - - Bibit
010229, Binatang hidup jenis lembu. - Sapi : - - Lain-lain :
010231, Binatang hidup jenis lembu. - Kerbau : - - Bibit
010239, Binatang hidup jenis lembu. - Kerbau : - - Lain-lain
010290, Binatang hidup jenis lembu. - Lain-lain :
010310, Babi hidup. - Bibit
010391, Babi hidup. - Lain-lain : - - Berat kurang dari 50 kg
010392, Babi hidup. - Lain-lain : - - Berat 50 kg atau lebih
010410," Biri-biri dan kambing, hidup. - Biri-biri :"
010420," Biri-biri dan kambing, hidup. - Kambing :"
010511," Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea. - Berat tidak lebih dari 185 g : - - Ayam dari spesies Gallus domesticus :"
010512," Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea. - Berat tidak lebih dari 185 g : - - Kalkun :"
010513," Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea. - Berat tidak lebih dari 185 g : - - Bebek :"
010514," Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea. - Berat tidak lebih dari 185 g : - - Angsa :"
010515," Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea. - Berat tidak lebih dari 185 g : - - Ayam guinea :"
010594," Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea. - Lain-lain : - - Ayam dari spesies Gallus domesticus :"
010599," Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea. - Lain-lain : - - Lain-lain :"
010611, Binatang hidup lainnya. - Binatang menyusui : - - Primata
010612," Binatang hidup lainnya. - Binatang menyusui : - - Paus, lumba-lumba dan porpoise (binatang menyusui dari ordo Cetacea); manate dan dugong (binatang menyusui dari ordo Sirenia); anjing laut, singa laut dan beruang laut (mamalia dari sub ordo Pinnipedia) :"
010613, Binatang hidup lainnya. - Binatang menyusui : - - Unta dan camelid lainnya (Camelidae)
010614, Binatang hidup lainnya. - Binatang menyusui : - - Kelinci dan hare
010619, Binatang hidup lainnya. - Binatang menyusui : - - Lain-lain
010620, Binatang hidup lainnya. - Binatang melata (termasuk ular dan penyu)
010631, Binatang hidup lainnya. - Burung : - - Burung pemangsa
010632," Binatang hidup lainnya. - Burung : - - Psittaciformes (termasuk burung Beo, Parkit, Macaw dan Kakatua)"
010633, Binatang hidup lainnya. - Burung : - - Burung unta; emu (Dromaius novaehollandiae)
010639, Binatang hidup lainnya. - Burung : - - Lain-lain
010641, Binatang hidup lainnya. - Serangga : - - Lebah
010649, Binatang hidup lainnya. - Serangga : - - Lain-lain
010690, Binatang hidup lainnya. - Lain-lain
020110," Daging binatang jenis lembu, segar atau dingin. - Karkas dan setengah karkas"
020120," Daging binatang jenis lembu, segar atau dingin. - Potongan daging lainnya, bertulang"
020130," Daging binatang jenis lembu, segar atau dingin. - Daging tanpa tulang"
020210," Daging binatang jenis lembu, beku. - Karkas dan setengah karkas"
020220," Daging binatang jenis lembu, beku. - Potongan daging lainnya, bertulang"
020230," Daging binatang jenis lembu, beku. - Daging tanpa tulang"
020311," Daging babi, segar, dingin atau beku. - Segar atau dingin : - - Karkas dan setengah karkas"
020312," Daging babi, segar, dingin atau beku. - Segar atau dingin : - - Paha, bahu dan potongannya, bertulang"
020319," Daging babi, segar, dingin atau beku. - Segar atau dingin : - - Lain-lain"
020321," Daging babi, segar, dingin atau beku. - Beku : - - Karkas dan setengah karkas"
020322," Daging babi, segar, dingin atau beku. - Beku : - - Paha, bahu dan potongannya, bertulang"
020329," Daging babi, segar, dingin atau beku. - Beku : - - Lain-lain"
020410," Daging biri-biri atau kambing, segar, dingin atau beku. - Karkas dan setengah karkas dari biri-biri muda, segar atau dingin"
020421," Daging biri-biri atau kambing, segar, dingin atau beku. - Daging lainnya dari biri-biri, segar atau dingin : - - Karkas dan setengah karkas"
020422," Daging biri-biri atau kambing, segar, dingin atau beku. - Daging lainnya dari biri-biri, segar atau dingin : - - Potongan daging lainnya, bertulang"
020423," Daging biri-biri atau kambing, segar, dingin atau beku. - Daging lainnya dari biri-biri, segar atau dingin : - - Daging tanpa tulang"
020430," Daging biri-biri atau kambing, segar, dingin atau beku. - Karkas dan setengah karkas dari biri-biri muda, beku"
020441," Daging biri-biri atau kambing, segar, dingin atau beku. - Daging lainnya dari biri-biri, beku : - - Karkas dan setengah karkas"
020442," Daging biri-biri atau kambing, segar, dingin atau beku. - Daging lainnya dari biri-biri, beku : - - Potongan daging lainnya, bertulang"
020443," Daging biri-biri atau kambing, segar, dingin atau beku. - Daging lainnya dari biri-biri, beku : - - Daging tanpa tulang"
020450," Daging biri-biri atau kambing, segar, dingin atau beku. - Daging kambing"
020500," Daging kuda, keledai, bagal atau hinnie, segar, dingin atau beku."
020610," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Dari binatang jenis lembu, segar atau dingin"
020621," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Dari binatang jenis lembu, beku : - - Lidah"
020622," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Dari binatang jenis lembu, beku : - - Hati"
020629," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Dari binatang jenis lembu, beku : - - Lain-lain"
020630," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Dari babi, segar atau dingin"
020641," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Dari babi, beku : - - Hati"
020649," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Dari babi, beku : - - Lain-lain"
020680," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Lain-lain, segar atau dingin"
020690," Sisa yang dapat dimakan dari binatang jenis lembu, babi, biri-biri, kambing, kuda, keledai, bagal atau hinnie, segar, dingin atau beku. - Lain-lain, beku"
020711," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari ayam spesies Gallus domesticus : - - Tidak dipotong menjadi bagian-bagian, segar atau dingin"
020712," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari ayam spesies Gallus domesticus : - - Tidak dipotong menjadi bagian-bagian, beku"
020713," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari ayam spesies Gallus domesticus : - - Potongan dan sisanya, segar atau dingin"
020714," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari ayam spesies Gallus domesticus : - - Potongan dan sisanya, beku :"
020724," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari kalkun : - - Tidak dipotong menjadi bagian-bagian, segar atau dingin"
020725," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari kalkun : - - Tidak dipotong menjadi bagian-bagian, beku"
020726," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari kalkun : - - Potongan dan sisanya, segar atau dingin"
020727," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari kalkun : - - Potongan dan sisanya, beku :"
020741," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari bebek : - - Tidak dipotong menjadi bagian-bagian, segar atau dingin"
020742," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari bebek : - - Tidak dipotong menjadi bagian-bagian, beku"
020743," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari bebek : - - Hati berlemak, segar atau dingin"
020744," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari bebek : - - Lain-lain, segar atau dingin"
020745," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari bebek : - - Lain-lain, beku :"
020751," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari angsa : - - Tidak dipotong menjadi bagian-bagian, segar atau dingin"
020752," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari angsa : - - Tidak dipotong menjadi bagian-bagian, beku"
020753," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari angsa : - - Hati berlemak, segar atau dingin"
020754," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari angsa : - - Lain-lain, segar atau dingin"
020755," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari angsa : - - Lain-lain, beku :"
020760," Daging dan sisanya yang dapat dimakan, dari unggas dari pos 01.05, segar, dingin atau beku. - Dari ayam guinea :"
020810," Daging dan sisanya yang dapat dimakan dari binatang lainnya, segar, dingin atau beku. - Dari kelinci atau hare"
020830," Daging dan sisanya yang dapat dimakan dari binatang lainnya, segar, dingin atau beku. - Dari primata"
